"candidat","depensestotales","recettestotales","dons","appartspartis","concoursnature","autres","perso","soldescompte","DEV","RFE","DECCNCCFP"
"M. BIDET Dominique","36 080
34 957","36 080
34 957","7 630
7 630","0
0","0
1 784","35
35","28 415
25 508","0
0","0","25 508","AR"
"M. BOYER Marc","0","0","0","0","0","0","0","0","0","0","A"
"M. CASTANIER Charles",,,,,,,,,"0","0","AD"
"Mme CHAMBEAU Anne-Marie","769","769","0","225","176","0","368","0","0","0","A"
"Mme DERIS- TARGON Véro-",,,,,,,,,,,
"nique","0","0","0","0","0","0","0","0","0","0","A"
"Mme GAILLARDON Françoise","15","15","0","15","0","0","0","0","0","0","A"
"M. GUILLAUMIN Gérard-Pierre","0","0","0","0","0","0","0","0","0","0","A"
"M. JOLY Claude","26 681","26 766","930","0","131","0","25 705","85","0","0","R"
"M. LEBEL Bernard","296","296","0","293","3","0","0","0","0","0","A"
"M. MALLOT Jean","34 383
35 341","34 383
35 341","635
635","2 139
2 139","3 457
4 803","0
0","28 152
27 764","0
0","0","27 764","AR"
"Mme MARNAY Mireille","0","0","0","0","0","0","0","0","0","0","A"
"M. SIMON Yves","48 298","48 298","14 180","1 700","782","0","31 636","0","0","30 452","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Allier - 4</i>","<i>Département : Allier </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 60 139","€",,,,,,,,,,
"Remboursement maximum : 30 070",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mlle BÈGE Sophie","19 217
14 888","19 217
17 180","2 180
2 180","15 000
15 000","0
0","0
0","2 037
0","0
2 292","71","0","AR"
"M. CHARASSE Gérard","38 547
38 093","38 547
38 093","10 430
10 430","0
0","0
0","9
9","28 108
27 654","0
0","0","27 654","AR"
"M. DE CONDÉ Louis","24 424","24 424","100","0","0","0","24 324","0","0","0","A"
"M. DE PORTEBANE Marc-",,,,,,,,,,,
"Claude",,,,,,,,,"0","0","AD"
"M. MALHURET Claude","43 360","43 360","5 094","9 700","1 395","0","27 171","0","0","27 171","A"
"M. MAYADOUX Jacques","0","0","0","0","0","0","0","0","0","0","A"
"M. PEYRON Albert","0","0","0","0","0","0","0","0","0","0","A"
"Mme PICOULEAU Nadine","0","0","0","0","0","0","0","0","0","0","A"
"Mme ROCHE Monique","267","267","0","263","4","0","0","0","0","0","A"
"M. RONDEPIERRE Daniel","584","584","200","155","0","0","229","0","0","0","A"
"Mme SEMET Pascale","17 938
16 203","17 938
16 203","0
0","0
0","0
0","0
0","17 938
16 203","0
0","0","0","AR"
"M. VACHERON Thomas","32","32","0","15","17","0","0","0","0","0","A"
"M. VITTI Louis",,,,,,,,,"0","0","AD"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"22","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007","<i>Circoncription : Alpes-de-Haute-Provence - 1</i>","<i>Département : Alpes-de-Haute-Provence</i>",,,,"<i>er</i>",,,,
"Plafond de dépenses : 56 779","€",,,,,,,,,,
"Remboursement maximum : 28 390",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mlle ALONSO Caroline","248","248","0","248","0","0","0","0","0","0","A"
"Mme BARREILLE Eliane","25 303
25 248","25 809
25 754","2 985
2 985","11 700
11 700","1 092
1 092","0
0","10 032
9 977","506
506","0","9 471","AR"
"M. BIANCO Jean-Louis","22 906","22 906","4 390","1 684","5 909","0","10 923","0","0","10 923","A"
"Mme CHANGEUX-PANISSE",,,,,,,,,,,
"Micheline","0","0","0","0","0","0","0","0","0","0","A"
"M. CHUISANO Noël","2 538","2 538","0","2 538","0","0","0","0","0","0","A"
"Mme DANIEL Monique","0","0","0","0","0","0","0","0","0","0","A"
"Mlle HERNANDEZ Aurore","6 594","6 800","700","6 100","0","0","0","206","0","0","A"
"M. JEANSELME Bernard","0","0","0","0","0","0","0","0","0","0","A"
"Mme JOUZIER-BERGÈS Mireille","14 054
13 575","14 054
13 575","0
0","0
0","0
0","0
0","14 054
13 575","0
0","0","0","AR"
"Mme LAFON Venise","15","15","0","15","0","0","0","0","0","0","A"
"Mme LORENZELLI Marie-France","0","0","0","0","0","0","0","0","0","0","A"
"M. MILANOVIC Jean",,,,,,,,,"0","0","AD"
"Mlle PIECHOTA Catherine","0","0","0","0","0","0","0","0","0","0","A"
"M. SILVY Jean-Claude","0","0","0","0","0","0","0","0","0","0","A"
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,
".",,,,,,,,,,,
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme TEBAR Joëlle","8 274
3 893","18 000
13 619","0
0","8 000
8 000","0
0","0
0","10 000
5 619","9 726
9 726","0","0","AR"
"Mme VALLON Martine","424","424","0","424","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"24","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007","<i>Circoncription : Alpes-de-Haute-Provence - 2</i>","<i>Département : Alpes-de-Haute-Provence</i>",,,,"<i>e</i>",,,,
"Plafond de dépenses : 57 603","€",,,,,,,,,,
"Remboursement maximum : 28 802",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. CASTANER Christophe","30 556
30 671","30 556
30 671","1 950
1 950","2 952
2 952","0
655","0
0","25 654
25 114","0
0","0","25 114","AR"
"M. CAUVIN Jean-Claude","4 638","6 760","1 760","5 000","0","0","0","2 122","2 122","0","A"
"Mme CHASSAING Michèle",,,,,,,,,"0","0","AD"
"M. DEJASMIN Xavier","0","0","0","0","0","0","0","0","0","0","A"
"Mme DENKO Karine","515","515","0","15","500","0","0","0","0","0","A"
"Mme D’ORNANO Mireille","18 772
17 761","18 772
17 761","0
0","0
0","0
0","0
0","18 772
17 761","0
0","0","0","AR"
"Mme DOUZON Jeannine","0","0","0","0","0","0","0","0","0","0","A"
"M. GARNON Patrick","0","0","0","0","0","0","0","0","0","0","A"
"M. ILLY Max","210","210","0","210","0","0","0","0","0","0","A"
"Mme RAPHEL Véronique","0","0","0","0","0","0","0","0","0","0","A"
"M. RAVERA Gilles","0","0","0","0","0","0","0","0","0","0","A"
"M. SENES Claude","40","40","40","0","0","0","0","0","0","0","A"
"M. SPAGNOU Daniel","40 530","40 530","2 560","9 700","3 829","0","24 441","0","0","24 441","A"
"Mme VERSCHUEREN Isabelle","10 867
10 231","14 980
14 344","0
0","0
0","100
100","0
0","14 880
14 244","4 113
4 113","0","10 131","AR"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Département : Hautes-Alpes </i>
<i>Circoncription : Hautes-Alpes - 1</i>",,,"<i>er</i>",,,,,
"Plafond de dépenses : 57 013","€",,,,,,,,,,
"Remboursement maximum : 28 507",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. ARNAUD Jean-Michel","33 531
33 531","37 765
33 531","7 265
7 265","5 500
5 500","0
0","0
0","25 000
20 766","4 234
0","0","20 766","AR"
"Mme BERGER Karine","41 194","41 194","3 980","6 900","2 748","1 052","26 514","0","0","26 514","A"
"M. DAUDON Jacques-Henri","0","0","0","0","0","0","0","0","0","0","A"
"M. DUPRÉ Denis","0","0","0","0","0","0","0","0","0","0","A"
"M. EYRAUD Jean-Claude","36 139","36 845","7 850","0","0","0","28 995","706","0","28 289","A"
"Mme FAURE Colette","0","0","0","0","0","0","0","0","0","0","A"
"M. FAURE Patrick","0","0","0","0","0","0","0","0","0","0","A"
"Mme KRIEF Brigitte","0","0","0","0","0","0","0","0","0","0","A"
"Mme LEFORESTIER-ESTIVANT",,,,,,,,,,,
"Aurore","0","0","0","0","0","0","0","0","0","0","A"
"Mme LELIEVRE-MAAZIZ Martine","18 128","21 200","0","200","0","0","21 000","3 072","0","0","A"
"Mme MARTINEZ Henriette","44 624","44 624","15 338","5 700","1 410","0","22 176","0","0","22 176","A"
"M m e   S C H W E N D E M A N N",,,,,,,,,,,
"Marcelle","0","0","0","0","0","0","0","0","0","0","A"
"Mlle TARBOURIECH Marie","3 276","3 276","2 937","339","0","0","0","0","0","0","R"
"26","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".",,,,,,,,,,,
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mlle THOMAS Elisabeth","280","280","0","269","11","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Département : Hautes-Alpes </i>
<i>Circoncription : Hautes-Alpes - 2</i>",,,"<i>e</i>",,,,,
"Plafond de dépenses : 54 158","€",,,,,,,,,,
"Remboursement maximum : 27 080",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. BAYROU Alain","51 472","54 773","4 185","20 560","1 572","0","28 456","3 301","0","25 155","A"
"M. BOBIN Claude","0","0","0","0","0","0","0","0","0","0","A"
"M. BOUTEILLE Jean-Pierre","0","0","0","0","0","0","0","0","0","0","A"
"M. CHABOY Vincent","39","39","0","39","0","0","0","0","0","0","A"
"Mme EYMEOUD Chantal","6 822","6 822","1 130","4 000","0","0","1 692","0","0","1 692","A"
"M. GARCIA André","0","0","0","0","0","0","0","0","0","0","A"
"M. GIRAUD Joël","47 252","47 252","330","0","4 527","0","42 395","0","0","27 079","A"
"M. GOLLION Jacques","0","0","0","0","0","0","0","0","0","0","A"
"M. LEROY Pierre","3 838
3 479","3 846
3 487","2 745
2 745","359
0","0
0","462
462","280
280","8
8","0","0","AR"
"M. PELLION Michel louis","15 796","16 693","0","100","0","0","16 593","897","0","0","A"
"Mme PERRIN Monique","0","0","0","0","0","0","0","0","0","0","A"
"M. SAUGÉ Gérard","294","294","0","285","9","0","0","0","0","0","A"
"M. SCHULLER Christian","9 279
6 391","9 305
6 417","605
605","0
0","0
0","0
0","8 700
5 812","26
26","0","0","AR"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"28","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Département : Alpes-Maritimes </i>
<i>Circoncription : Alpes-Maritimes - 1</i>",,,,"<i>er</i>",,,,
"Plafond de dépenses : 60 883","€",,,,,,,,,,
"Remboursement maximum : 30 442",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. ALLEMAND Patrick","31 613","31 613","2 217","900","6 276","0","22 220","0","0","22 220","A"
"Mme BENKEMOUN Agnès","229","229","0","225","4","0","0","0","0","0","A"
"M. CAEL Hervé","5 580
6 062","5 580
6 062","500
500","0
482","0
0","0
0","5 080
5 080","0
0","0","0","AR"
"M. CIOTTI Eric","50 988
49 968","57 844
57 844","39 230
39 230","18 614
18 614","0
0","0
0","0
0","6 856
7 876","7 876","0","AR"
"Mme FERRIÈRE Mounia","0","0","0","0","0","0","0","0","0","0","A"
"M. FRANÇOIS Michel","0","0","0","0","0","0","0","0","0","0","A"
"M. FRANCOIS Rémy","23 111","23 111","0","0","0","0","23 111","0","0","23 111","A"
"Mlle GOMEZ Ambre","385","820","820","0","0","0","0","435","435","0","A"
"M. GOVERNATORI Jean-Marc","0","0","0","0","0","0","0","0","0","0","A"
"M. INJEY Robert","5 681","5 681","0","2 120","0","0","3 561","0","0","0","A"
"Mme LISBONA Danielle","18 834","19 180","320","0","289","0","18 571","346","0","0","R"
"M. RICERCHI Christophe","0","0","0","0","0","0","0","0","0","0","A"
"M. RIVIÈRE Jérôme","20 956","20 956","1 000","15 000","412","0","4 544","0","0","4 544","A"
"M. VARDON Philippe","6 241","6 241","2 980","0","0","0","3 261","0","0","0","R"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DU 10 JUIN 2007",,"<i>Département : Alpes-Maritimes </i>
<i>Circoncription : Alpes-Maritimes - 2</i>",,,,"<i>e</i>",,,,
"Plafond de dépenses : 62 369","€",,,,,,,,,,
"Remboursement maximum : 31 185",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. ALAUZET Stéphane","0","0","0","0","0","0","0","0","0","0","A"
"Mme BOY-MOTTARD Domi-",,,,,,,,,,,
"nique","16 370","16 370","440","900","520","0","14 510","0","0","14 510","A"
"Mme GIMENO Danièle","1 132","1 132","0","840","0","0","292","0","0","0","A"
"Mlle KHAN Rachel","0","0","0","0","0","0","0","0","0","0","A"
"Mme LACROIX Céline","10 310
10 259","10 310
10 259","0
0","0
0","0
0","0
0","10 310
10 259","0
0","0","10 259","AR"
"M. LEBOUCHER Jacques","0","0","0","0","0","0","0","0","0","0","A"
"M. LŒUILLET Benoit","4 083","4 083","3 000","0","0","0","1 083","0","0","0","R"
"M. MARKIEL Joseph","268","268","0","263","5","0","0","0","0","0","A"
"Mme MARLAND-MILITELLO",,,,,,,,,,,
"Muriel","16 883","25 161","15 110","10 050","0","0","1","8 278","8 277","0","A"
"Mme MARTINAUX Joelle","2 105","2 105","1 305","0","0","0","800","0","0","0","A"
"Mme PELLERO Patricia","29 500
27 789","29 500
27 789","0
0","0
0","0
0","0
0","29 500
27 789","0
0","0","27 789","AR"
"M. PISONI Jean-Pierre","0","0","0","0","0","0","0","0","0","0","A"
"M. RIGOLAT Joël","3 848","3 848","200","0","2 648","0","1 000","0","0","0","A"
"30","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".",,,,,,,,,,,
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mlle TIECHE Fanny","215","215","0","15","200","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DU 10 JUIN 2007",,"<i>Département : Alpes-Maritimes </i>
<i>Circoncription : Alpes-Maritimes - 3</i>",,,,"<i>e</i>",,,,
"Plafond de dépenses : 64 234","€",,,,,,,,,,
"Remboursement maximum : 32 118",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mlle AOUASSI Nadia","3 088","120","120","0","0","0","0","–2968","0","0","R"
"M. ARGENTIERI Pierre","0","0","0","0","0","0","0","0","0","0","A"
"M. BACINO Laurent","0","0","0","0","0","0","0","0","0","0","A"
"M. BAELE Jean-Marie","0","0","0","0","0","0","0","0","0","0","A"
"M. DELLA SUDDA Bruno","1 680","1 680","1 545","135","0","0","0","0","0","0","A"
"M. GAECHTER Rémy","488","488","0","341","0","0","147","0","0","0","A"
"M. GARDIEN Serge","0","0","0","0","0","0","0","0","0","0","A"
"M. GUEZ Élie","0","0","0","0","0","0","0","0","0","0","A"
"Mlle JOMAT Elodie","18 624","18 624","0","0","0","0","18 624","0","0","18 624","A"
"Mme MARCHAND Myriam","2 939
222","2 939
2 915","2 915
2 915","0
0","0
0","0
0","24
0","0
2 693","0","0","AR"
"Mme MOUTON Adeline","5 224","5 224","1 430","726","0","0","3 068","0","0","0","A"
"Mme PEREIRA Marie-Josée","291","291","0","288","3","0","0","0","0","0","A"
"M. PIGLI Gilbert","25 592
25 064","25 592
25 064","0
0","0
0","0
0","0
0","25 592
25 064","0
0","0","25 064","AR"
"M. SALLES Rudy","28 521","28 521","540","2 050","12 411","0","13 520","0","0","13 520","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"32","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DU 10 JUIN 2007",,"<i>Département : Alpes-Maritimes </i>
<i>Circoncription : Alpes-Maritimes - 4</i>",,,,"<i>e</i>",,,,
"Plafond de dépenses : 61 700","€",,,,,,,,,,
"Remboursement maximum : 30 850",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme BACCELLI Monique","0","0","0","0","0","0","0","0","0","0","A"
"M. BARILLOT Xavier","356","356","0","353","3","0","0","0","0","0","A"
"M m e   B O R G H I - G A S T A U T",,,,,,,,,,,
"Michèle","420","450","100","350","0","0","0","30","30","0","A"
"M. BRIAND Philippe","6 564","6 564","0","0","977","0","5 587","0","0","5 587","A"
"M. FERRUCCIO Patrick","215","215","0","15","200","0","0","0","0","0","A"
"M. FIORESE René","0","0","0","0","0","0","0","0","0","0","A"
"Mme GAIGNAIRE Nedjia","0","0","0","0","0","0","0","0","0","0","A"
"Mme GÉRARD Pascale","20 865
20 679","20 865
20 679","0
0","900
900","0
0","0
0","19 965
19 779","0
0","0","19 779","AR"
"M. GUIBAL Jean-Claude","47 814
47 212","74 430
73 828","62 590
62 590","9 700
9 700","1 990
1 408","0
0","150
130","26 616
26 616","26 486","0","AR"
"M. HERVÉ Alain","262","262","0","262","0","0","0","0","0","0","A"
"Mme HOURTIC Brigitte","3 104","3 104","0","0","0","0","3 104","0","0","0","A"
"Mme MATHIEU Monique","25 915","25 915","0","0","0","0","25 915","0","0","25 915","A"
"Mlle PEREZ Laetitia","0","0","0","0","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DU 10 JUIN 2007",,"<i>Département : Alpes-Maritimes </i>
<i>Circoncription : Alpes-Maritimes - 5</i>",,,,"<i>e</i>",,,,
