"Candidat", "Dépenses totales", "Recettes totales", "Dons", "Apports partis", "Concours en nature", "Autres", "Apports personnel", "Soldes compte de campagne", "Dév (1)", "RFE (2)", "Déc. CNCCFP", "Circoncription", "Plafond de dépenses", "Remboursement maximum", "Scrutin"
"Mme JOUZIER-BERGÈS Mireille","14 054/13 575","14 054/13 575","0/0","0/0","0/0","0/0","14 054/13 575","0/0","0","0","AR","Alpes-de-Haute-Provence - 1","56 779","28 390 €","Scrutin non contesté"
"Mme LAFON Venise","15","15","0","15","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779","28 390 €","Scrutin non contesté"
"Mme LORENZELLI Marie-France","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779","28 390 €","Scrutin non contesté"
"M. MILANOVIC Jean",,,,,,,,,"0","0","AD","Alpes-de-Haute-Provence - 1","56 779","28 390 €","Scrutin non contesté"
"Mlle PIECHOTA Catherine","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779","28 390 €","Scrutin non contesté"
"M. SILVY Jean-Claude","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779","28 390 €","Scrutin non contesté"
"Mme TEBAR Joëlle","8 274/3 893","18 000/13 619","0/0","8 000/8 000","0/0","0/0","10 000/5 619","9 726/9 726","0","0","AR","Alpes-de-Haute-Provence - 1","56 779","28 390 €","Scrutin non contesté"
"Mme VALLON Martine","424","424","0","424","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 1","56 779","28 390 €","Scrutin non contesté"
"M. CASTANER Christophe","30 556/30 671","30 556/30 671","1 950/1 950","2 952/2 952","0/655","0/0","25 654/25 114","0/0","0","25 114","AR","Alpes-de-Haute-Provence - 2","57 603","28 802 €","Scrutin non contesté"
"M. CAUVIN Jean-Claude","4 638","6 760","1 760","5 000","0","0","0","2 122","2 122","0","A","Alpes-de-Haute-Provence - 2","57 603","28 802 €","Scrutin non contesté"
"Mme CHASSAING Michèle",,,,,,,,,"0","0","AD","Alpes-de-Haute-Provence - 2","57 603","28 802 €","Scrutin non contesté"
"M. DEJASMIN Xavier","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 2","57 603","28 802 €","Scrutin non contesté"
"Mme DENKO Karine","515","515","0","15","500","0","0","0","0","0","A","Alpes-de-Haute-Provence - 2","57 603","28 802 €","Scrutin non contesté"
"Mme D’ORNANO Mireille","18 772/17 761","18 772/17 761","0/0","0/0","0/0","0/0","18 772/17 761","0/0","0","0","AR","Alpes-de-Haute-Provence - 2","57 603","28 802 €","Scrutin non contesté"
"Mme DOUZON Jeannine","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 2","57 603","28 802 €","Scrutin non contesté"
"M. GARNON Patrick","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 2","57 603","28 802 €","Scrutin non contesté"
"M. ILLY Max","210","210","0","210","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 2","57 603","28 802 €","Scrutin non contesté"
"Mme RAPHEL Véronique","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 2","57 603","28 802 €","Scrutin non contesté"
"M. RAVERA Gilles","0","0","0","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 2","57 603","28 802 €","Scrutin non contesté"
"M. SENES Claude","40","40","40","0","0","0","0","0","0","0","A","Alpes-de-Haute-Provence - 2","57 603","28 802 €","Scrutin non contesté"
"M. SPAGNOU Daniel","40 530","40 530","2 560","9 700","3 829","0","24 441","0","0","24 441","A","Alpes-de-Haute-Provence - 2","57 603","28 802 €","Scrutin non contesté"
"Mme VERSCHUEREN Isabelle","10 867/10 231","14 980/14 344","0/0","0/0","100/100","0/0","14 880/14 244","4 113/4 113","0","10 131","AR","Alpes-de-Haute-Provence - 2","57 603","28 802 €","Scrutin non contesté"
"M. ARNAUD Jean-Michel","33 531/33 531","37 765/33 531","7 265/7 265","5 500/5 500","0/0","0/0","25 000/20 766","4 234/0","0","20 766","AR","Hautes-Alpes - 1","57 013","28 507 €","Scrutin non contesté"
"Mme BERGER Karine","41 194","41 194","3 980","6 900","2 748","1 052","26 514","0","0","26 514","A","Hautes-Alpes - 1","57 013","28 507 €","Scrutin non contesté"
"M. DAUDON Jacques-Henri","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 1","57 013","28 507 €","Scrutin non contesté"
"M. DUPRÉ Denis","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 1","57 013","28 507 €","Scrutin non contesté"
"M. EYRAUD Jean-Claude","36 139","36 845","7 850","0","0","0","28 995","706","0","28 289","A","Hautes-Alpes - 1","57 013","28 507 €","Scrutin non contesté"
"Mme FAURE Colette","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 1","57 013","28 507 €","Scrutin non contesté"
"M. FAURE Patrick","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 1","57 013","28 507 €","Scrutin non contesté"
"Mme KRIEF Brigitte","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 1","57 013","28 507 €","Scrutin non contesté"
"Mme LEFORESTIER-ESTIVANTAurore","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 1","57 013","28 507 €","Scrutin non contesté"
"Mme LELIEVRE-MAAZIZ Martine","18 128","21 200","0","200","0","0","21 000","3 072","0","0","A","Hautes-Alpes - 1","57 013","28 507 €","Scrutin non contesté"
"Mme MARTINEZ Henriette","44 624","44 624","15 338","5 700","1 410","0","22 176","0","0","22 176","A","Hautes-Alpes - 1","57 013","28 507 €","Scrutin non contesté"
"M m e   S C H W E N D E M A N NMarcelle","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 1","57 013","28 507 €","Scrutin non contesté"
"Mlle TARBOURIECH Marie","3 276","3 276","2 937","339","0","0","0","0","0","0","R","Hautes-Alpes - 1","57 013","28 507 €","Scrutin non contesté"
"Mlle THOMAS Elisabeth","280","280","0","269","11","0","0","0","0","0","A","Hautes-Alpes - 1","57 013","28 507 €","Scrutin non contesté"
"M. BAYROU Alain","51 472","54 773","4 185","20 560","1 572","0","28 456","3 301","0","25 155","A","Hautes-Alpes - 2","54 158","27 080 €","Scrutin non contesté"
"M. BOBIN Claude","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 2","54 158","27 080 €","Scrutin non contesté"
"M. BOUTEILLE Jean-Pierre","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 2","54 158","27 080 €","Scrutin non contesté"
"M. CHABOY Vincent","39","39","0","39","0","0","0","0","0","0","A","Hautes-Alpes - 2","54 158","27 080 €","Scrutin non contesté"
"Mme EYMEOUD Chantal","6 822","6 822","1 130","4 000","0","0","1 692","0","0","1 692","A","Hautes-Alpes - 2","54 158","27 080 €","Scrutin non contesté"
"M. GARCIA André","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 2","54 158","27 080 €","Scrutin non contesté"
"M. GIRAUD Joël","47 252","47 252","330","0","4 527","0","42 395","0","0","27 079","A","Hautes-Alpes - 2","54 158","27 080 €","Scrutin non contesté"
"M. GOLLION Jacques","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 2","54 158","27 080 €","Scrutin non contesté"
"M. LEROY Pierre","3 838/3 479","3 846/3 487","2 745/2 745","359/0","0/0","462/462","280/280","8/8","0","0","AR","Hautes-Alpes - 2","54 158","27 080 €","Scrutin non contesté"
"M. PELLION Michel louis","15 796","16 693","0","100","0","0","16 593","897","0","0","A","Hautes-Alpes - 2","54 158","27 080 €","Scrutin non contesté"
"Mme PERRIN Monique","0","0","0","0","0","0","0","0","0","0","A","Hautes-Alpes - 2","54 158","27 080 €","Scrutin non contesté"
"M. SAUGÉ Gérard","294","294","0","285","9","0","0","0","0","0","A","Hautes-Alpes - 2","54 158","27 080 €","Scrutin non contesté"
"M. SCHULLER Christian","9 279/6 391","9 305/6 417","605/605","0/0","0/0","0/0","8 700/5 812","26/26","0","0","AR","Hautes-Alpes - 2","54 158","27 080 €","Scrutin non contesté"
"M. ALLEMAND Patrick","31 613","31 613","2 217","900","6 276","0","22 220","0","0","22 220","A","Alpes-Maritimes - 1","60 883","30 442 €","Scrutin non contesté"
"Mme BENKEMOUN Agnès","229","229","0","225","4","0","0","0","0","0","A","Alpes-Maritimes - 1","60 883","30 442 €","Scrutin non contesté"
"M. CAEL Hervé","5 580/6 062","5 580/6 062","500/500","0/482","0/0","0/0","5 080/5 080","0/0","0","0","AR","Alpes-Maritimes - 1","60 883","30 442 €","Scrutin non contesté"
"M. CIOTTI Eric","50 988/49 968","57 844/57 844","39 230/39 230","18 614/18 614","0/0","0/0","0/0","6 856/7 876","7 876","0","AR","Alpes-Maritimes - 1","60 883","30 442 €","Scrutin non contesté"
"Mme FERRIÈRE Mounia","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 1","60 883","30 442 €","Scrutin non contesté"
"M. FRANÇOIS Michel","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 1","60 883","30 442 €","Scrutin non contesté"
"M. FRANCOIS Rémy","23 111","23 111","0","0","0","0","23 111","0","0","23 111","A","Alpes-Maritimes - 1","60 883","30 442 €","Scrutin non contesté"
"Mlle GOMEZ Ambre","385","820","820","0","0","0","0","435","435","0","A","Alpes-Maritimes - 1","60 883","30 442 €","Scrutin non contesté"
"M. GOVERNATORI Jean-Marc","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 1","60 883","30 442 €","Scrutin non contesté"
"M. INJEY Robert","5 681","5 681","0","2 120","0","0","3 561","0","0","0","A","Alpes-Maritimes - 1","60 883","30 442 €","Scrutin non contesté"
"Mme LISBONA Danielle","18 834","19 180","320","0","289","0","18 571","346","0","0","R","Alpes-Maritimes - 1","60 883","30 442 €","Scrutin non contesté"
"M. RICERCHI Christophe","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 1","60 883","30 442 €","Scrutin non contesté"
"M. RIVIÈRE Jérôme","20 956","20 956","1 000","15 000","412","0","4 544","0","0","4 544","A","Alpes-Maritimes - 1","60 883","30 442 €","Scrutin non contesté"
"M. VARDON Philippe","6 241","6 241","2 980","0","0","0","3 261","0","0","0","R","Alpes-Maritimes - 1","60 883","30 442 €","Scrutin non contesté"
"M. ALAUZET Stéphane","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 2","62 369","31 185 €","Scrutin non contesté"
"Mme BOY-MOTTARD Domi-nique","16 370","16 370","440","900","520","0","14 510","0","0","14 510","A","Alpes-Maritimes - 2","62 369","31 185 €","Scrutin non contesté"
"Mme GIMENO Danièle","1 132","1 132","0","840","0","0","292","0","0","0","A","Alpes-Maritimes - 2","62 369","31 185 €","Scrutin non contesté"
"Mlle KHAN Rachel","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 2","62 369","31 185 €","Scrutin non contesté"
"Mme LACROIX Céline","10 310/10 259","10 310/10 259","0/0","0/0","0/0","0/0","10 310/10 259","0/0","0","10 259","AR","Alpes-Maritimes - 2","62 369","31 185 €","Scrutin non contesté"
"M. LEBOUCHER Jacques","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 2","62 369","31 185 €","Scrutin non contesté"
"M. LŒUILLET Benoit","4 083","4 083","3 000","0","0","0","1 083","0","0","0","R","Alpes-Maritimes - 2","62 369","31 185 €","Scrutin non contesté"
"M. MARKIEL Joseph","268","268","0","263","5","0","0","0","0","0","A","Alpes-Maritimes - 2","62 369","31 185 €","Scrutin non contesté"
"Mme MARLAND-MILITELLOMuriel","16 883","25 161","15 110","10 050","0","0","1","8 278","8 277","0","A","Alpes-Maritimes - 2","62 369","31 185 €","Scrutin non contesté"
"Mme MARTINAUX Joelle","2 105","2 105","1 305","0","0","0","800","0","0","0","A","Alpes-Maritimes - 2","62 369","31 185 €","Scrutin non contesté"
"Mme PELLERO Patricia","29 500/27 789","29 500/27 789","0/0","0/0","0/0","0/0","29 500/27 789","0/0","0","27 789","AR","Alpes-Maritimes - 2","62 369","31 185 €","Scrutin non contesté"
"M. PISONI Jean-Pierre","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 2","62 369","31 185 €","Scrutin non contesté"
"M. RIGOLAT Joël","3 848","3 848","200","0","2 648","0","1 000","0","0","0","A","Alpes-Maritimes - 2","62 369","31 185 €","Scrutin non contesté"
"Mlle TIECHE Fanny","215","215","0","15","200","0","0","0","0","0","A","Alpes-Maritimes - 2","62 369","31 185 €","Scrutin non contesté"
"Mlle AOUASSI Nadia","3 088","120","120","0","0","0","0","–2968","0","0","R","Alpes-Maritimes - 3","64 234","32 118 €","Scrutin non contesté"
"M. ARGENTIERI Pierre","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 3","64 234","32 118 €","Scrutin non contesté"
"M. BACINO Laurent","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 3","64 234","32 118 €","Scrutin non contesté"
"M. BAELE Jean-Marie","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 3","64 234","32 118 €","Scrutin non contesté"
"M. DELLA SUDDA Bruno","1 680","1 680","1 545","135","0","0","0","0","0","0","A","Alpes-Maritimes - 3","64 234","32 118 €","Scrutin non contesté"
"M. GAECHTER Rémy","488","488","0","341","0","0","147","0","0","0","A","Alpes-Maritimes - 3","64 234","32 118 €","Scrutin non contesté"
"M. GARDIEN Serge","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 3","64 234","32 118 €","Scrutin non contesté"
"M. GUEZ Élie","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 3","64 234","32 118 €","Scrutin non contesté"
"Mlle JOMAT Elodie","18 624","18 624","0","0","0","0","18 624","0","0","18 624","A","Alpes-Maritimes - 3","64 234","32 118 €","Scrutin non contesté"
"Mme MARCHAND Myriam","2 939/222","2 939/2 915","2 915/2 915","0/0","0/0","0/0","24/0","0/2 693","0","0","AR","Alpes-Maritimes - 3","64 234","32 118 €","Scrutin non contesté"
"Mme MOUTON Adeline","5 224","5 224","1 430","726","0","0","3 068","0","0","0","A","Alpes-Maritimes - 3","64 234","32 118 €","Scrutin non contesté"
"Mme PEREIRA Marie-Josée","291","291","0","288","3","0","0","0","0","0","A","Alpes-Maritimes - 3","64 234","32 118 €","Scrutin non contesté"
"M. PIGLI Gilbert","25 592/25 064","25 592/25 064","0/0","0/0","0/0","0/0","25 592/25 064","0/0","0","25 064","AR","Alpes-Maritimes - 3","64 234","32 118 €","Scrutin non contesté"
"M. SALLES Rudy","28 521","28 521","540","2 050","12 411","0","13 520","0","0","13 520","A","Alpes-Maritimes - 3","64 234","32 118 €","Scrutin non contesté"
"Mme BACCELLI Monique","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 4","61 700","30 850 €","Scrutin non contesté"
"M. BARILLOT Xavier","356","356","0","353","3","0","0","0","0","0","A","Alpes-Maritimes - 4","61 700","30 850 €","Scrutin non contesté"
"M m e   B O R G H I - G A S T A U TMichèle","420","450","100","350","0","0","0","30","30","0","A","Alpes-Maritimes - 4","61 700","30 850 €","Scrutin non contesté"
"M. BRIAND Philippe","6 564","6 564","0","0","977","0","5 587","0","0","5 587","A","Alpes-Maritimes - 4","61 700","30 850 €","Scrutin non contesté"
"M. FERRUCCIO Patrick","215","215","0","15","200","0","0","0","0","0","A","Alpes-Maritimes - 4","61 700","30 850 €","Scrutin non contesté"
"M. FIORESE René","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 4","61 700","30 850 €","Scrutin non contesté"
"Mme GAIGNAIRE Nedjia","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 4","61 700","30 850 €","Scrutin non contesté"
"Mme GÉRARD Pascale","20 865/20 679","20 865/20 679","0/0","900/900","0/0","0/0","19 965/19 779","0/0","0","19 779","AR","Alpes-Maritimes - 4","61 700","30 850 €","Scrutin non contesté"
"M. GUIBAL Jean-Claude","47 814/47 212","74 430/73 828","62 590/62 590","9 700/9 700","1 990/1 408","0/0","150/130","26 616/26 616","26 486","0","AR","Alpes-Maritimes - 4","61 700","30 850 €","Scrutin non contesté"
"M. HERVÉ Alain","262","262","0","262","0","0","0","0","0","0","A","Alpes-Maritimes - 4","61 700","30 850 €","Scrutin non contesté"
"Mme HOURTIC Brigitte","3 104","3 104","0","0","0","0","3 104","0","0","0","A","Alpes-Maritimes - 4","61 700","30 850 €","Scrutin non contesté"
"Mme MATHIEU Monique","25 915","25 915","0","0","0","0","25 915","0","0","25 915","A","Alpes-Maritimes - 4","61 700","30 850 €","Scrutin non contesté"
"Mlle PEREZ Laetitia","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 4","61 700","30 850 €","Scrutin non contesté"
"M. ABITBOL Michaël",,,,,,,,,"0","0","AD","Alpes-Maritimes - 5","64 698","32 350 €","Scrutin non contesté"
"Mme BAËLE Rose-Marie","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 5","64 698","32 350 €","Scrutin non contesté"
"Mme BARTOLI Danièle","296","296","0","233","63","0","0","0","0","0","A","Alpes-Maritimes - 5","64 698","32 350 €","Scrutin non contesté"
"M. CUTURELLO Paul","22 972","22 972","0","900","4 324","0","17 748","0","0","17 748","A","Alpes-Maritimes - 5","64 698","32 350 €","Scrutin non contesté"
"M. ESTROSI Christian","49 257","49 393","26 265","22 277","851","0","0","136","136","0","A","Alpes-Maritimes - 5","64 698","32 350 €","Scrutin non contesté"
"M. GABRY Serge","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 5","64 698","32 350 €","Scrutin non contesté"
"Mme GACEM Pascale","215","215","0","15","200","0","0","0","0","0","A","Alpes-Maritimes - 5","64 698","32 350 €","Scrutin non contesté"
"M. HVIDSTEN Axel","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 5","64 698","32 350 €","Scrutin non contesté"
"Mme LAMBERT Karine","14 130/9 158","14 130/9 158","0/0","0/0","0/0","0/0","14 130/9 158","0/0","0","0","AR","Alpes-Maritimes - 5","64 698","32 350 €","Scrutin non contesté"
"M. LIGONIE Bruno","25 537","25 537","0","0","355","0","25 182","0","0","25 182","A","Alpes-Maritimes - 5","64 698","32 350 €","Scrutin non contesté"
"M. PLAQUEVENT Pierre-Antoine","3 497/160","3 500/3 500","3 500/3 500","0/0","0/0","0/0","0/0","3/3 340","0","0","AR","Alpes-Maritimes - 5","64 698","32 350 €","Scrutin non contesté"
"M. RÉMOND Jean-Jacques","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 5","64 698","32 350 €","Scrutin non contesté"
"Mme THIÉMONGE Jeanine","142","150","150","0","0","0","0","8","8","0","A","Alpes-Maritimes - 5","64 698","32 350 €","Scrutin non contesté"
"M. TUJAGUE Francis","17 957","17 957","10 938","0","0","0","7 019","0","0","7 019","A","Alpes-Maritimes - 5","64 698","32 350 €","Scrutin non contesté"
"M. BOUILLEAUX Alain","250","250","0","225","25","0","0","0","0","0","A","Alpes-Maritimes - 6","69 151","34 576 €","Scrutin non contesté"
"Mme BRUNIER Marie-France","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 6","69 151","34 576 €","Scrutin non contesté"
"Mme CHARRAC Martine","0","0","0","0","0","0","0","0","0","0","A","Alpes-Maritimes - 6","69 151","34 576 €","Scrutin non contesté"
"M. DAMIANI Antoine","16 283","16 283","7 487","900","0","0","7 896","0","0","7 896","A","Alpes-Maritimes - 6","69 151","34 576 €","Scrutin non contesté"
"M. DOMBREVAL Loïc","26 047","26 268","0","0","4 024","0","22 244","221","0","22 023","A","Alpes-Maritimes - 6","69 151","34 576 €","Scrutin non contesté"
"Mme DUBOIS Anne-Marie","1 218","1 218","1 105","113","0","0","0","0","0","0","A","Alpes-Maritimes - 6","69 151","34 576 €","Scrutin non contesté"
"Mme FAGUER Joëlle","619","619","0","483","0","0","136","0","0","0","A","Alpes-Maritimes - 6","69 151","34 576 €","Scrutin non contesté"
